sample_index,starting_weight,normalized_prediction_error,ada_normalized_prediction_error,fi_normalized_prediction_error,adaboost_updated_weight,fi_adaboost_updated_weight,Phi_i,fi_modulated_loss,adaboost_weight_change,fi_adaboost_weight_change
128,0.000416666666667,0.0318463426055,0.0989920646907,0.0318463426055,0.000443172822664,0.000411487759102,0.9230667867,0.029396301137,2.65061559975e-05,-5.17890756508e-06
129,0.000416666666667,0.00850008544761,0.0568882939339,0.00850008544761,0.000412998073479,0.000376766892972,0.981131183856,0.0083396988981,-3.66859318739e-06,-3.98997736952e-05
130,0.000416666666667,0.0144606033901,0.0204964255052,0.0144606033901,0.000388577462932,0.000384870948874,0.92825237798,0.0134230894839,-2.80892037346e-05,-3.17957177928e-05
131,0.000416666666667,0.00183618006332,0.0235908494459,0.00183618006332,0.000390596551779,0.000366441645664,0.927062990329,0.00170225458028,-2.60701148874e-05,-5.02250210027e-05
132,0.000416666666667,0.0217881760556,0.0541031889895,0.0217881760556,0.00041107609197,0.000396071670428,0.93057097145,0.0202754441582,-5.59057469692e-06,-2.05949962389e-05
133,0.000416666666667,0.0413107594156,0.0462857029716,0.0413107594156,0.000405728953266,0.000426900321571,0.924206804658,0.0381796849575,-1.09377134008e-05,1.02336549045e-05
134,0.000416666666667,0.00772635223845,0.0481413814482,0.00772635223845,0.00040699190256,0.000374840827958,0.920934792085,0.00711546659229,-9.67476410618e-06,-4.18258387086e-05
135,0.000416666666667,0.0125361405627,0.0521985967342,0.0125361405627,0.000409766898385,0.000381931276457,0.924655792396,0.0115916149856,-6.89976828206e-06,-3.47353902097e-05
136,0.000416666666667,0.00963679854075,0.0440762013268,0.00963679854075,0.000404230306994,0.000377831150541,0.935318229053,0.00901347334488,-1.24363596729e-05,-3.8835516126e-05
137,0.000416666666667,0.0585718065688,0.754053421435,0.0585718065688,0.00132753583165,0.000458432794498,0.942466830027,0.0552019848658,0.000910869164986,4.17661278316e-05
138,0.000416666666667,0.00904286677453,0.102977518908,0.00904286677453,0.000446140887124,0.000376872096444,0.929615291881,0.00840638723605,2.94742204575e-05,-3.97945702229e-05
139,0.000416666666667,0.00949621656006,0.158410825287,0.00949621656006,0.000489545032616,0.000377711789459,0.941217076265,0.00893800118623,7.28783659498e-05,-3.89548772073e-05
140,0.000416666666667,0.00106077449769,0.0402553513148,0.00106077449769,0.000401651777296,0.000365344544582,0.929542917165,0.000986035421033,-1.5014889371e-05,-5.13221220842e-05
141,0.000416666666667,0.00387988363005,0.0694203483276,0.00387988363005,0.000421758154539,0.000369392503455,0.932520441536,0.0036180707958,5.09148787222e-06,-4.72741632115e-05
142,0.000416666666667,0.0146360560088,0.0113100319034,0.0146360560088,0.00038264468484,0.000385318200867,0.936079343793,0.0137005097044,-3.40219818262e-05,-3.13484657998e-05
143,0.000416666666667,0.00118835875789,0.0462196524991,0.00118835875789,0.000405684072523,0.000365503269399,0.91705346488,0.00108978851644,-1.09825941432e-05,-5.11633972681e-05
144,0.000416666666667,0.00778326698175,0.099628819291,0.00778326698175,0.000443645700474,0.00037503212947,0.92985906861,0.0072373413864,2.69790338073e-05,-4.16345371968e-05
145,0.000416666666667,0.0104648966202,0.00961386448532,0.0104648966202,0.000381559209903,0.0003790844982,0.936896985628,0.00980453009834,-3.51074567632e-05,-3.75821684666e-05
146,0.000416666666667,0.0121522566919,0.0958479990204,0.0121522566919,0.000440845300087,0.000381599308345,0.936773088139,0.0113839070292,2.41786334199e-05,-3.50673583217e-05
