date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
2024-11-22,4.7513,27.1,84.38,0.52,7.250792737060687,125.43741689857494
2024-11-23,3.6787,26.37,88.74,0.4,7.250792737060687,125.43741689857494
2024-11-24,3.835,26.57,90.17,0.42,7.250792737060687,125.43741689857494
2024-11-25,3.7975,25.9,94.45,0.42,7.250792737060687,125.43741689857494
2024-11-26,5.2224,26.38,87.06,0.57,7.250792737060687,125.43741689857494
2024-11-27,3.9036,26.14,93.39,0.43,7.250792737060687,125.43741689857494
2024-11-28,3.7838,26.3,92.64,0.42,7.250792737060687,125.43741689857494
2024-11-29,3.6259,25.51,90.83,0.4,7.250792737060687,125.43741689857494
2024-11-30,4.7938,26.21,88.62,0.53,7.250792737060687,125.43741689857494
2024-12-01,3.7498,27.05,85.29,0.41,7.250792737060687,125.43741689857494
2024-12-02,4.8043,27.43,85.36,0.53,7.250792737060687,125.43741689857494
2024-12-03,4.6721,27.8,82.42,0.52,7.250792737060687,125.43741689857494
2024-12-04,5.6846,26.46,85.66,0.63,7.250792737060687,125.43741689857494
2024-12-05,5.4245,26.73,83.62,0.6,7.250792737060687,125.43741689857494
2024-12-06,5.0002,27.04,83.89,0.56,7.250792737060687,125.43741689857494
2024-12-07,3.4044,24.83,91.77,0.38,7.250792737060687,125.43741689857494
2024-12-08,2.9882,26.86,84.05,0.33,7.250792737060687,125.43741689857494
2024-12-09,4.6879,26.47,88.96,0.52,7.250792737060687,125.43741689857494
2024-12-10,3.7831,26.35,87.55,0.42,7.250792737060687,125.43741689857494
